SQ_CANDIDATO,SG_UE,NR_PARTIDO,CD_OCUPACAO,IDADE_DATA_POSSE,CD_GENERO,CD_GRAU_INSTRUCAO,CD_ESTADO_CIVIL,CD_NACIONALIDADE,SG_UF_NASCIMENTO,CD_MUNICIPIO_NASCIMENTO,TP_AGREMIACAO,COMP_COLIGACAO,QT_PART_COL,QT_BENS,VL_TOT_BENS,REC_PROP,REC_PF,REC_PJ,REC_PARTCAND,REC_OUTRAS,VR_DESPESA,VOTOS_PART_ELEC_ANT,QT_ELEITOS_ELEC_ANT,RESULTADO
250000082044,71072,13,999,41,4,6,3,1,35,71072,1,4,3,1,340000.0,2215.8,0.0,0.0,144932.57,0.0,78695.88,736408,11,0
250000082046,71072,13,265,46,2,8,3,1,35,66214,1,4,3,0,0.0,7022.89,0.0,0.0,110310.43000000001,0.0,69003.01999999999,736408,11,0
250000082056,71072,13,257,42,2,6,3,1,23,14931,1,4,3,4,86192.17,0.0,0.0,0.0,777615.71,0.0,207989.08000000002,736408,11,0
250000081979,71072,13,254,48,2,6,3,1,21,9210,1,4,3,1,12000.0,2700.0,0.0,0.0,104685.43,0.0,72262.37,736408,11,0
250000081995,71072,13,278,52,2,8,9,1,24,18155,1,4,3,3,308584.0,3000.0,0.0,318500.05000000005,583752.54,0.0,248743.85,736408,11,0
250000081996,71072,13,278,46,2,8,3,1,26,23418,1,4,3,8,386388.3,10900.46,0.0,200000.03,1128737.54,0.0,360038.26000000007,736408,11,0
250000082003,71072,13,923,47,2,7,3,1,35,71072,1,4,3,2,32000.0,0.0,0.0,0.0,0.0,0.0,0.0,736408,11,0
250000082004,71072,13,278,50,2,8,3,1,35,71072,1,4,3,5,642133.87,12990.4,0.0,250000.0,1126512.54,0.0,462286.28,736408,11,0
250000082005,71072,13,512,51,2,7,3,1,43,86614,1,4,3,2,742427.0,0.0,0.0,15000.0,49447.06,0.0,32933.71,736408,11,0
250000082023,71072,13,142,47,2,8,3,1,41,74837,1,4,3,5,203237.28,22.8,0.0,297003.5,745315.79,0.0,272415.99,736408,11,0
250000082017,71072,13,169,41,2,8,3,1,35,71072,1,4,3,0,0.0,1488.03,0.0,0.0,48027.06,0.0,33081.740000000005,736408,11,0
250000082016,71072,13,923,51,2,6,3,1,41,75930,1,4,3,2,88536.0,0.0,0.0,0.0,47742.06,0.0,33768.71,736408,11,0
250000082012,71072,13,999,31,2,7,1,1,24,16632,1,4,3,0,0.0,0.0,0.0,0.0,54722.06,0.0,32388.71,736408,11,0
250000082021,71072,13,999,45,2,8,1,1,35,71072,1,4,3,4,331000.0,0.0,0.0,0.0,96510.43000000001,0.0,87571.03,736408,11,0
250000081982,71072,13,999,26,2,8,1,1,35,71072,1,4,3,0,0.0,1993.95,0.0,0.0,52047.06,0.0,54587.659999999996,736408,11,0
250000082051,71072,13,999,53,4,4,1,1,29,36935,1,4,3,0,0.0,0.0,0.0,0.0,45947.06,0.0,31963.71,736408,11,0
250000082040,71072,13,265,43,4,8,9,1,35,71072,1,4,3,0,0.0,0.0,0.0,0.0,54794.56,0.0,32211.21,736408,11,0
250000082042,71072,13,144,49,4,8,7,1,35,71072,1,4,3,2,17618.35,109900.0,0.0,9000.0,2024777.08,0.0,691038.1799999998,736408,11,0
250000082049,71072,13,999,45,2,8,3,1,31,51390,1,4,3,3,117000.0,0.0,0.0,0.0,84442.06,0.0,42208.70999999999,736408,11,0
250000081997,71072,13,132,26,2,8,1,1,35,61638,1,4,3,1,35000.0,0.0,0.0,37500.0,201310.43,0.0,174441.63000000003,736408,11,0
250000082055,71072,13,265,44,2,8,9,1,35,61638,1,4,3,6,400274.70999999996,4600.0,0.0,455000.04000000004,1101519.24,0.0,520076.3800000001,736408,11,1
250000082052,71072,13,232,47,2,8,9,1,35,71072,1,4,3,5,229507.51,12020.0,0.0,348000.0,1317180.54,0.0,485258.04000000015,736408,11,1
250000082067,71072,13,278,43,2,7,3,1,27,27138,1,4,3,8,1065780.25,23170.260000000002,0.0,203126.0,320737.54000000004,0.0,179333.4,736408,11,1
250000082024,71072,13,278,29,4,6,1,1,35,71072,1,4,3,3,218115.0,4800.0,0.0,53679.0,659438.54,0.0,203524.09,736408,11,1
250000081977,71072,13,278,48,2,8,1,1,35,71072,1,4,3,4,155285.43,0.0,0.0,430000.0,1434037.54,0.0,807561.7600000001,736408,11,1
250000082007,71072,13,301,40,2,7,3,1,41,79650,1,4,3,3,193751.82,3000.0,0.0,440000.0,590676.37,0.0,484597.51000000007,736408,11,1
250000081980,71072,13,278,52,2,8,9,1,43,86673,1,4,3,12,262349.24,5000.0,0.0,363000.0,541887.54,0.0,562974.54,736408,11,1
250000082047,71072,13,142,53,2,8,3,1,35,71072,1,4,3,9,571730.81,20000.0,0.0,240575.0,1326143.04,0.0,972691.0100000004,736408,11,1
250000081974,71072,13,278,49,2,7,3,1,22,11398,1,4,3,5,274243.88999999996,15920.41,0.0,225000.0,1391354.54,0.0,602182.9500000002,736408,11,1
250000082015,71072,13,278,55,2,8,3,1,35,63215,1,4,3,6,195705.99,15948.39,0.0,224190.03000000003,1116411.29,0.0,442791.6500000001,736408,11,1
250000082073,71072,13,999,44,2,8,3,1,35,70572,1,4,3,8,425497.5,0.0,0.0,64500.0,130155.54,0.0,184073.0,736408,11,1
250000082068,71072,11,185,17,2,6,1,1,35,71072,1,4,3,0,0.0,12000.0,0.0,0.0,7975.66,0.0,15446.36,156635,2,0
250000081988,71072,11,125,52,2,7,3,1,35,71072,1,4,3,5,257470.0,35240.0,0.0,18300.0,31755.8,0.0,57958.639999999985,156635,2,0
250000082048,71072,11,278,51,2,8,3,1,35,71072,1,4,3,17,426933.59,29151.61,0.0,1000.0,131950.66,0.0,70509.52,156635,2,0
250000082063,71072,11,125,38,2,8,1,1,35,71072,1,4,3,1,9141.0,46000.0,0.0,3500.0,21560.66,0.0,68469.36,156635,2,0
250000082070,71072,11,999,48,4,8,9,1,35,71072,1,4,3,0,0.0,94.75999999999999,0.0,0.0,5975.66,0.0,7093.049999999999,156635,2,0
250000082071,71072,11,999,33,2,8,1,1,35,71072,1,4,3,1,31000.0,1000.0,0.0,0.0,0.0,0.0,2444.0299999999997,156635,2,0
250000082077,71072,11,278,72,2,8,3,1,35,71072,1,4,3,30,3884886.0100000002,66361.9,0.0,86650.0,112035.66,0.0,194028.24,156635,2,0
250000081990,71072,11,999,35,4,8,3,1,35,71072,1,4,3,0,0.0,500.0,0.0,0.0,5975.66,0.0,10635.66,156635,2,0
250000081978,71072,11,999,69,2,6,3,4,ZZ,-5,1,4,3,1,43000.0,3650.0,0.0,0.0,6365.66,0.0,9875.66,156635,2,0
250000081986,71072,11,131,37,4,8,9,1,35,71072,1,4,3,1,15217.0,0.0,0.0,0.0,5975.66,0.0,6449.66,156635,2,0
250000082031,71072,11,257,37,2,8,7,1,35,71072,1,4,3,1,6500000.0,152700.0,0.0,8220.0,5418.66,0.0,166338.66,156635,2,0
250000082057,71072,11,101,31,2,8,3,1,35,71072,1,4,3,3,325228.0,21560.0,0.0,0.0,5975.66,0.0,25905.489999999998,156635,2,0
250000082069,71072,11,232,52,2,7,3,1,35,71072,1,4,3,5,122366.76000000001,0.0,0.0,0.0,0.0,0.0,0.0,156635,2,0
250000082014,71072,11,129,33,4,3,1,1,26,23817,1,4,3,0,0.0,435.0,0.0,0.0,5975.66,0.0,6410.66,156635,2,0
250000081987,71072,11,999,54,2,4,3,1,29,36293,1,4,3,0,0.0,0.0,0.0,19185.2,28985.66,0.0,46693.5,156635,2,1
250000082041,71072,40,999,49,4,6,3,1,35,71072,1,4,3,1,170000.0,0.0,0.0,0.0,10388.5,0.0,5388.5,77028,2,0
250000082053,71072,40,162,68,2,6,9,1,43,85073,1,4,3,0,0.0,500.0,0.0,0.0,11061.0,0.0,6061.0,77028,2,0
250000082001,71072,40,999,43,4,7,3,1,35,71072,1,4,3,3,21353.71,220.0,0.0,0.0,10388.5,0.0,13607.0,77028,2,0
250000082006,71072,40,125,26,2,7,1,1,35,71072,1,4,3,0,0.0,1240.0,0.0,0.0,11061.0,0.0,11630.7,77028,2,0
250000099927,71072,40,298,36,2,6,3,1,35,71072,1,4,3,0,0.0,430.0,0.0,0.0,11061.0,0.0,9663.59,77028,2,0
250000082033,71072,40,131,27,2,8,3,1,35,71072,1,4,3,3,928000.0,0.0,0.0,0.0,11061.0,0.0,12561.0,77028,2,0
250000081998,71072,40,999,40,2,6,1,1,25,21695,1,4,3,0,0.0,3100.0,0.0,0.0,11061.0,0.0,8252.14,77028,2,0
250000082013,71072,40,999,47,2,8,3,1,35,71072,1,4,3,2,420000.0,0.0,0.0,600.0,16061.0,0.0,6661.0,77028,2,0
250000082025,71072,40,278,46,2,3,5,1,50,90514,1,4,3,8,1311119.55,0.0,0.0,14700.0,502061.0,0.0,136957.51,77028,2,0
250000081973,71072,40,164,29,2,8,1,1,35,71072,1,4,3,4,530100.0,0.0,0.0,0.0,10388.5,0.0,11648.95,77028,2,0
250000082032,71072,40,999,37,2,7,7,1,33,60011,1,4,3,4,703800.0,395.29,0.0,24000.0,271156.0,0.0,80084.75,77028,2,0
250000082059,71072,40,999,41,2,8,3,1,35,69299,1,4,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77028,2,0
250000081976,71072,40,999,40,2,6,3,1,35,71072,1,4,3,1,16175.0,1600.0,0.0,0.0,11061.0,0.0,8391.0,77028,2,0
250000099866,71072,40,301,45,4,6,1,1,29,38954,1,4,3,0,0.0,250.0,0.0,0.0,10388.5,0.0,6343.1,77028,2,0
250000082011,71072,40,999,39,2,6,1,1,27,28070,1,4,3,0,0.0,952.6,0.0,0.0,11061.0,0.0,18665.4,77028,2,0
250000082028,71072,40,999,37,4,8,9,1,35,71072,1,4,3,0,0.0,0.0,0.0,0.0,10388.5,0.0,6738.5,77028,2,0
250000081992,71072,40,265,40,4,8,5,1,31,50350,1,4,3,2,195000.0,0.0,0.0,675.0,10388.0,0.0,9713.0,77028,2,0
250000082058,71072,40,999,63,2,8,3,1,35,71072,1,4,3,10,1636115.0,806.0600000000001,0.0,0.0,10388.5,0.0,10991.34,77028,2,0
250000081993,71072,40,278,61,2,8,3,1,35,71072,1,4,3,6,1061407.5899999999,167217.6,0.0,98576.29000000001,468061.0,0.0,411070.49999999994,77028,2,1
250000082050,71072,40,163,42,4,3,3,1,35,71072,1,4,3,5,59108.3,0.0,0.0,54000.0,494561.0,0.0,193467.81,77028,2,1
250000082045,71072,40,257,52,2,6,3,4,ZZ,-5,1,4,3,5,932593.02,0.0,0.0,8157.1900000000005,272061.0,0.0,148754.09000000005,77028,2,1
250000080654,71072,19,394,51,4,2,9,1,35,71072,1,8,2,0,0.0,0.0,0.0,0.0,1525.38,0.0,1525.38,58279,0,0
250000080655,71072,19,999,39,2,7,3,1,29,35734,1,8,2,2,198000.0,2700.0,0.0,0.0,1570.88,0.0,4270.88,58279,0,0
250000080667,71072,19,131,49,2,8,3,1,31,53597,1,8,2,11,300398.37,2800.0,0.0,0.0,1570.88,0.0,4643.34,58279,0,0
250000080645,71072,19,581,39,4,4,9,1,35,70718,1,8,2,0,0.0,0.0,0.0,0.0,1389.88,0.0,1389.88,58279,0,0
